Algorithm,Time,Distance,Distance from Goal,Path Deviation,Original Distance from Goal,Search Space,Memory
A*,0.05608,42.9705627484771,0,0,38.2099463490856,9.3017578125,0
A*,0.007345,8.48528137423857,0,0,8.48528137423857,0.830078125,176.128
A*,0.010555,16.4852813742386,0,0,14.2126704035519,2.63671875,0
A*,0.06213,54.9705627484771,0,0,51.4198405287298,14.6240234375,8.192
A*,0.046836,44.0416305603426,0,0,29.1204395571221,13.5986328125,0
A*,0.03946,62.7279220613579,0,0,57.2712842531054,8.8623046875,0
A*,0.012657,18.5563491861041,0,0,17.8044938147649,2.24609375,0
A*,0.015689,22.6274169979695,0,0,22.6274169979695,1.9775390625,0
A*,0.031596,33.6568542494924,56.0802995712398,0,56.0802995712398,5.8837890625,0
A*,0.027716,37.2842712474619,0,0,32.2490309931942,7.9345703125,0
A*,0.099272,61.4558441227157,0,0,34.7131099154196,27.6123046875,258.048
A*,0.080958,59.9411254969542,0,0,41.9761837236307,21.1181640625,258.048
A*,0.042812,47.4852813742386,0,0,55.4616984954482,10.8154296875,0
A*,0.050889,43.1126983722081,0,0,45.3982378512647,11.181640625,32.768
A*,0.013867,17.9705627484771,32.4499614791759,0,32.4499614791759,2.1728515625,0
A*,0.041439,34.0416305603426,0,0,38.0788655293195,11.1083984375,258.048
A*,0.041855,43.7279220613578,0,0,17.6918060129541,8.9111328125,0
A*,0.058367,46.0416305603426,0,0,20.0997512422418,11.1083984375,0
A*,0.050326,50.556349186104,0,0,41,16.3330078125,258.048
A*,0.030707,31.4558441227157,0,0,40.4969134626332,5.078125,0
A*,0.012259,19.4142135623731,0,0,42.485291572496,2.0263671875,0
A*,0.034483,41.8700576850888,0,0,29.698484809835,9.423828125,0
A*,0.04528,43.6274169979695,0,0,19.0262975904404,13.0859375,258.048
A*,0.081033,54.0710678118655,0,0,38.2753184180093,10.8642578125,258.048
A*,0.019809,18.6568542494924,0,0,40.3112887414927,4.8095703125,0
A*,0.001417,1,0,0,41.3400532171888,0.146484375,0
A*,0.048421,48.4142135623731,0,0,10.6301458127347,4.8583984375,0
A*,0.012534,17.2426406871193,0,0,1,2.8076171875,0
